% Model,MFT_5_5_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 28 2024, 17:52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
35,30,0.3,0.3,46,28,0.3,0.3,4.5,1,3,1.5,4,0,1,2,0.1,0.1,2,1,10,0.00044574,0.00044011,0.00045148,0.000476981,0.000520611,0,0.000720208,0.000683616,0.000664105,0.000663355,0.000686151,0,1.31093E-07,1.27795E-07,1.19921E-07,1.07562E-07,9.05254E-08,0,9.63121E-08,1.16765E-07,1.31515E-07,1.40373E-07,1.42791E-07,0
30,20,0.3,0.2,46,38,0.1,0.1,4.5,1.5,3,2.5,3,0,1,2,0.1,0.1,1,1,10,0.000610726,0.000588066,0.000604205,0.000660847,0.000785599,0,0.00163298,0.00162491,0.00162643,0.00163541,0.00165931,0,1.4002E-07,1.37514E-07,1.30621E-07,1.19305E-07,1.02886E-07,0,1.74525E-07,1.90293E-07,2.00776E-07,2.05828E-07,2.05368E-07,0
65,45,0.1,0.1,26,10,0.1,0.2,2,3.5,3,1.5,5,0,1,1,0.1,0.1,1,1,10,0.000343469,0.000347957,0.000355373,0.000369793,0.000397441,0,0.000523891,0.000534687,0.000545239,0.000555426,0.000565653,0,1.31013E-08,1.25412E-08,1.13708E-08,9.52519E-09,6.96704E-09,0,2.49473E-08,2.88437E-08,3.1693E-08,3.34635E-08,3.41249E-08,0
70,55,0.2,0.1,38,36,0.1,0.1,3,1,3.5,1,5,0,1,1,0.1,0.1,1,1,10,0.00028802,0.000291578,0.000303718,0.000333076,0.000394986,0,0.000842955,0.000846195,0.000850189,0.000854985,0.000861278,0,3.71112E-08,3.60008E-08,3.35959E-08,2.96345E-08,2.38333E-08,0,5.1806E-08,5.58684E-08,5.87771E-08,6.05161E-08,6.108E-08,0
45,45,0.2,0.1,22,20,0.3,0.2,1.5,3,5.5,2.5,3,0,1,1,0.1,0.1,1,1,10,0.000301138,0.000301755,0.000305324,0.000312626,0.000325617,0,0.000636185,0.000643885,0.000652095,0.000660434,0.000668848,0,3.18086E-08,3.03177E-08,2.6786E-08,2.11505E-08,1.33142E-08,0,2.06084E-08,2.57014E-08,2.94763E-08,3.19092E-08,3.29753E-08,0
45,35,0.1,0.1,24,38,0.3,0.3,4.5,1.5,4,3.5,4,0,1,1,0.1,0.1,1,1,10,0.000840168,0.000840202,0.000844347,0.00085672,0.000883158,0,0.00138186,0.00139662,0.00141211,0.00142813,0.00144779,0,8.4647E-08,8.28484E-08,7.87692E-08,7.22685E-08,6.3214E-08,0,8.54756E-08,9.66628E-08,1.04503E-07,1.089E-07,1.09803E-07,0
35,20,0.1,0.3,78,28,0.1,0.1,5.5,2,5,1.5,5.5,0,1,1,0.1,0.1,2,1,10,0.0014013,0.00140362,0.00140912,0.00142089,0.00144358,0,0.00145336,0.00138811,0.00135731,0.00135798,0.00140177,0,1.49902E-07,1.48202E-07,1.44465E-07,1.38624E-07,1.30638E-07,0,2.14885E-07,2.37505E-07,2.52504E-07,2.59744E-07,2.58694E-07,0
25,20,0.2,0.1,54,40,0.1,0.3,6,1,5.5,1.5,4.5,0,1,1,0.1,0.1,1,1,10,0.0011619,0.001151,0.00114886,0.0011547,0.00117036,0,0.00304935,0.00310202,0.00314219,0.00316687,0.00317847,0,2.50045E-07,2.47687E-07,2.41276E-07,2.30804E-07,2.16273E-07,0,1.88024E-07,2.10964E-07,2.26834E-07,2.35524E-07,2.36956E-07,0
70,55,0.1,0.2,34,32,0.2,0.2,0.5,4,4,2.5,5,0,1,1,0.1,0.1,1,1,10,0.000576737,0.000584269,0.000599537,0.000632727,0.000699984,0,0.000407395,0.000398691,0.000395408,0.000397267,0.000404724,0,1.68271E-08,1.55161E-08,1.273E-08,8.27926E-09,2.07314E-09,0,1.24722E-08,2.01965E-08,2.59039E-08,2.9536E-08,3.101E-08,0
50,30,0.1,0.2,78,34,0.3,0.2,1.5,2.5,3,3,4.5,0,1,1,0.1,0.1,1,1,10,0.00120709,0.00122017,0.0012707,0.00141989,0.00176884,0,0.00107838,0.00108701,0.00110255,0.0011251,0.00115836,0,5.00857E-08,4.6786E-08,3.921E-08,2.59605E-08,6.11692E-09,0,7.97257E-08,9.7432E-08,1.10041E-07,1.17385E-07,1.19205E-07,0
